,batsman,batsman_runs,balls_faced,strike_rate
0,SK Raina,4548,3369,134.99554764024933
1,V Kohli,4423,3494,126.58843732112193
2,RG Sharma,4207,3274,128.49725106902872
3,G Gambhir,4132,3433,120.36120011651617
4,DA Warner,4014,2902,138.3184011026878
5,RV Uthappa,3778,2960,127.63513513513513
6,CH Gayle,3651,2532,144.19431279620852
7,S Dhawan,3561,3005,118.50249584026622
8,MS Dhoni,3560,2680,132.83582089552237
9,AB de Villiers,3486,2402,145.12905911740216
10,AM Rahane,3057,2602,117.48654880860876
11,YK Pathan,2922,2076,140.7514450867052
12,KD Karthik,2903,2360,123.00847457627118
13,BB McCullum,2755,2181,126.31820265933058
14,V Sehwag,2728,1833,148.82705946535734
15,SR Watson,2628,1949,134.83837865572087
16,Yuvraj Singh,2591,2050,126.39024390243902
17,M Vijay,2511,2092,120.02868068833652
18,SE Marsh,2489,1913,130.10977522216413
19,JH Kallis,2427,2291,105.93627237014404
20,AT Rayudu,2416,1964,123.0142566191446
21,DR Smith,2385,1803,132.27953410981698
22,KA Pollard,2354,1674,140.62126642771804
23,SR Tendulkar,2334,2044,114.18786692759295
24,PA Patel,2322,2060,112.71844660194175
25,MK Pandey,2223,1901,116.93845344555497
26,R Dravid,2174,1918,113.34723670490094
27,AC Gilchrist,2069,1555,133.05466237942122
28,JP Duminy,1993,1634,121.97062423500611
29,MEK Hussey,1977,1648,119.9635922330097
30,DPMD Jayawardene,1808,1522,118.79106438896189
31,RA Jadeja,1732,1458,118.79286694101509
32,SPD Smith,1713,1333,128.50712678169543
33,KC Sangakkara,1687,1424,118.46910112359551
34,MK Tiwary,1648,1444,114.12742382271468
35,AJ Finch,1604,1270,126.2992125984252
36,DA Miller,1563,1135,137.7092511013216
37,WP Saha,1557,1219,127.72764561115669
38,NV Ojha,1553,1356,114.52802359882006
39,S Badrinath,1441,1245,115.7429718875502
40,SV Samson,1426,1165,122.40343347639485
41,BJ Hodge,1400,1153,121.42237640936686
42,SC Ganguly,1349,1326,101.73453996983409
43,DJ Hussey,1322,1101,120.07266121707539
44,F du Plessis,1295,1043,124.16107382550335
45,SS Tiwary,1276,1111,114.85148514851485
46,DJ Bravo,1262,1032,122.28682170542636
47,GJ Maxwell,1229,780,157.56410256410257
48,KK Nair,1158,929,124.65016146393972
49,TM Dilshan,1153,1047,110.12416427889207
50,IK Pathan,1150,985,116.751269035533
51,Mandeep Singh,1112,938,118.5501066098081
52,ML Hayden,1107,839,131.94278903456495
53,LMP Simmons,1079,878,122.89293849658314
54,LRPL Taylor,1017,847,120.07083825265643
55,KP Pietersen,1001,758,132.0580474934037
56,Y Venugopal Rao,985,865,113.8728323699422
57,JA Morkel,975,712,136.93820224719101
58,A Symonds,974,781,124.71190781049935
59,CL White,971,774,125.45219638242894
60,MC Henriques,969,769,126.00780234070221
61,M Vohra,957,750,127.6
62,KM Jadhav,893,684,130.55555555555554
63,HH Gibbs,886,837,105.8542413381123
64,EJG Morgan,854,725,117.79310344827586
65,MA Agarwal,814,692,117.6300578034682
66,SS Iyer,807,655,123.20610687022901
67,Harbhajan Singh,799,591,135.19458544839256
68,MS Bisla,798,737,108.27679782903664
69,ST Jayasuriya,768,573,134.03141361256544
70,STR Binny,766,619,123.74798061389338
71,GC Smith,739,691,106.94645441389291
72,Q de Kock,726,566,128.26855123674912
73,KL Rahul,725,592,122.46621621621621
74,AD Mathews,724,599,120.86811352253756
75,TL Suman,676,587,115.1618398637138
76,AM Nayar,672,588,114.28571428571429
77,GJ Bailey,663,552,120.1086956521739
78,SA Yadav,608,479,126.93110647181628
79,AR Patel,606,494,122.67206477732793
80,JD Ryder,604,466,129.6137339055794
81,HM Amla,577,418,138.03827751196172
82,AD Russell,574,350,164.0
83,RR Pant,564,381,148.03149606299212
84,RS Bopara,531,468,113.46153846153847
85,JC Buttler,528,375,140.8
86,JP Faulkner,527,406,129.80295566502463
87,CJ Anderson,521,414,125.84541062801932
88,PP Chawla,515,467,110.27837259100643
89,M Manhas,514,486,105.76131687242798
90,OA Shah,506,405,124.93827160493827
91,PC Valthaty,505,432,116.89814814814815
92,Shakib Al Hasan,500,401,124.68827930174564
93,KH Pandya,480,313,153.3546325878594
94,CH Morris,439,275,159.63636363636363
95,N Rana,437,355,123.09859154929578
96,NLTC Perera,424,326,130.06134969325154
97,SA Asnodkar,423,352,120.17045454545455
98,DT Christian,420,351,119.65811965811966
99,JR Hopes,417,314,132.80254777070064
100,KS Williamson,411,325,126.46153846153847
101,J Botha,409,364,112.36263736263736
102,HH Pandya,406,306,132.6797385620915
103,LR Shukla,405,358,113.12849162011173
104,AL Menaria,401,367,109.26430517711172
105,MV Boucher,394,318,123.8993710691824
106,RA Tripathi,391,275,142.1818181818182
107,CA Pujara,390,403,96.7741935483871
108,Azhar Mahmood,388,311,124.7588424437299
109,CA Lynn,384,260,147.69230769230768
110,DB Ravi Teja,375,325,115.38461538461539
111,DJ Hooda,373,277,134.65703971119135
112,S Sohal,368,311,118.32797427652733
113,P Negi,353,284,124.29577464788733
114,Gurkeerat Singh,342,280,122.14285714285714
115,R Bhatia,342,290,117.93103448275862
116,A Mishra,340,382,89.00523560209425
117,P Kumar,340,323,105.26315789473684
118,AP Tare,339,285,118.94736842105263
119,JEC Franklin,327,309,105.8252427184466
120,RN ten Doeschate,326,238,136.9747899159664
121,Ishan Kishan,319,255,125.09803921568627
122,KV Sharma,317,285,111.2280701754386
123,BA Stokes,316,227,139.20704845814979
124,DB Das,304,267,113.85767790262172
125,R Vinay Kumar,304,285,106.66666666666667
