,bowler,wickets,balls_delivered,runs_conceded,economy
0,SL Malinga,170,2694,3034,6.757238307349666
1,A Mishra,142,2703,3305,7.336293007769146
2,DJ Bravo,137,2110,2815,8.004739336492891
3,Harbhajan Singh,136,2989,3453,6.93141518902643
4,PP Chawla,133,2594,3315,7.6676946800308405
5,R Vinay Kumar,125,2161,2976,8.262841277186487
6,A Nehra,121,1974,2537,7.711246200607903
7,Z Khan,119,2276,2860,7.539543057996485
8,B Kumar,117,2054,2410,7.039922103213243
9,R Ashwin,110,2359,2552,6.490885968630775
10,SP Narine,109,1956,2085,6.395705521472393
11,UT Yadav,107,2033,2802,8.26955238563699
12,P Kumar,102,2637,3342,7.604095563139932
13,DW Steyn,100,2159,2375,6.6002779064381665
14,SR Watson,100,1961,2490,7.6185619581846
15,RP Singh,100,1874,2417,7.738527214514408
16,IK Pathan,99,2113,2711,7.698059630856601
17,PP Ojha,99,1945,2399,7.40051413881748
18,JA Morkel,96,1807,2409,7.998893193137797
19,MM Sharma,91,1566,2088,8.0
20,RA Jadeja,89,1962,2540,7.767584097859327
21,M Morkel,88,1699,2136,7.543260741612713
22,L Balaji,85,1574,2083,7.940279542566709
23,AB Dinda,82,1589,2103,7.940843297671492
24,R Bhatia,82,1661,2059,7.437688139674895
25,MM Patel,82,1382,1733,7.523878437047757
26,DS Kulkarni,81,1485,1918,7.74949494949495
27,JP Faulkner,76,1287,1849,8.62004662004662
28,Sandeep Sharma,76,1273,1623,7.649646504320503
29,JH Kallis,74,1799,2348,7.8310172317954425
30,SK Trivedi,73,1557,1944,7.491329479768786
31,YS Chahal,72,1219,1600,7.875307629204266
32,KA Pollard,67,1276,1785,8.393416927899686
33,M Muralitharan,67,1581,1765,6.698292220113852
34,MG Johnson,64,1168,1522,7.818493150684932
35,CH Morris,62,1042,1307,7.52591170825336
36,AR Patel,61,1280,1584,7.425
37,JD Unadkat,60,995,1328,8.008040201005025
38,SK Warne,60,1223,1465,7.187244480784955
39,I Sharma,59,1713,2291,8.024518388791593
40,MJ McClenaghan,56,982,1356,8.285132382892057
41,KV Sharma,54,1046,1357,7.783938814531548
42,JJ Bumrah,53,1084,1433,7.931734317343174
43,SB Jakati,50,1101,1474,8.032697547683924
44,Imran Tahir,50,734,1002,8.190735694822889
45,A Kumble,49,983,1089,6.646998982706002
46,S Aravind,48,788,1057,8.048223350253807
47,Shakib Al Hasan,48,947,1123,7.115100316789862
48,RJ Harris,47,865,1085,7.526011560693642
49,Iqbal Abdulla,45,943,1125,7.158006362672323
50,YK Pathan,45,1166,1421,7.312178387650086
51,DE Bollinger,43,600,716,7.16
52,P Awana,43,774,1046,8.108527131782946
53,S Sreesanth,43,947,1221,7.736008447729672
54,MC Henriques,42,918,1255,8.202614379084967
55,R Sharma,42,935,1100,7.0588235294117645
56,PJ Sangwan,41,837,1181,8.46594982078853
57,VR Aaron,40,904,1250,8.29646017699115
58,MA Starc,39,612,725,7.107843137254902
59,MS Gony,39,925,1317,8.542702702702703
60,NM Coulter-Nile,39,586,739,7.566552901023891
61,S Nadeem,39,1137,1332,7.029023746701847
62,Yuvraj Singh,39,869,1068,7.373993095512082
63,M Kartik,39,1182,1418,7.197969543147208
64,DP Nannes,38,689,815,7.097242380261249
65,NLTC Perera,37,715,1031,8.651748251748252
66,HV Patel,37,707,999,8.47807637906648
67,KK Cooper,36,600,789,7.89
68,AD Russell,36,651,917,8.451612903225806
69,P Negi,34,639,802,7.530516431924883
70,DL Vettori,34,785,894,6.83312101910828
71,AB Agarkar,33,820,1174,8.590243902439026
72,MF Maharoof,33,441,532,7.238095238095238
73,DT Christian,32,747,956,7.678714859437751
74,A Singh,31,486,639,7.888888888888889
75,WD Parnell,31,601,731,7.29783693843594
76,Azhar Mahmood,31,552,707,7.684782608695652
77,SK Raina,30,924,1133,7.357142857142857
78,Harmeet Singh,30,549,713,7.7923497267759565
79,B Lee,30,916,1126,7.3755458515283845
80,PV Tambe,28,674,866,7.70919881305638
81,AD Mathews,28,807,1095,8.141263940520446
82,Mohammed Shami,27,659,960,8.740515933232171
83,DR Smith,27,557,825,8.88689407540395
84,J Botha,27,709,818,6.922425952045134
85,STR Binny,27,554,686,7.429602888086643
86,SW Tait,26,534,668,7.50561797752809
87,RE van der Merwe,25,455,515,6.791208791208792
88,GB Hogg,25,466,585,7.532188841201716
89,TG Southee,25,691,930,8.075253256150507
90,Sohail Tanvir,24,265,275,6.226415094339623
91,BW Hilfenhaus,23,390,497,7.6461538461538465
92,S Kaul,23,436,611,8.408256880733944
93,A Symonds,23,540,694,7.711111111111111
94,JP Duminy,23,683,811,7.124450951683748
95,Bipul Sharma,22,436,581,7.9954128440366965
96,WPUJC Vaas,22,288,364,7.583333333333333
97,VY Mahesh,22,359,511,8.540389972144846
98,KW Richardson,20,326,450,8.282208588957054
99,MR Marsh,20,327,420,7.706422018348624
100,R Dhawan,20,513,655,7.6608187134502925
101,Anureet Singh,19,406,594,8.778325123152708
102,CH Gayle,19,579,750,7.772020725388601
103,Mustafizur Rahman,19,393,461,7.038167938931298
104,IC Pandey,19,469,609,7.791044776119403
105,Kuldeep Yadav,19,324,447,8.277777777777779
106,A Zampa,19,225,281,7.493333333333333
107,A Ashish Reddy,19,270,400,8.88888888888889
108,AD Mascarenhas,19,310,365,7.064516129032258
109,PJ Cummins,19,379,525,8.311345646437996
